05/02 04:33:23 | =================================
05/02 04:33:23 | Yedam just log in (from 127.0.0.1).
05/02 04:33:23 | Enter in game 9d2191d17fc6
05/02 04:33:23 | We loose the game (Opponent has disconnected) !
05/02 04:33:23 | Leave the game 9d2191d17fc6
05/02 04:33:23 | Connection closed with player Yedam (127.0.0.1)
05/02 04:34:45 | =================================
05/02 04:34:45 | Yedam just log in (from 127.0.0.1).
05/02 04:34:45 | Enter in game df72840f106b
05/02 04:34:45 | We loose the game (Opponent has disconnected) !
05/02 04:34:45 | Leave the game df72840f106b
05/02 04:34:45 | Connection closed with player Yedam (127.0.0.1)
05/02 04:35:53 | =================================
05/02 04:35:53 | Yedam just log in (from 127.0.0.1).
05/02 04:35:53 | Enter in game 7d21d60316a7
05/02 04:35:53 | We loose the game (Opponent has disconnected) !
05/02 04:35:53 | Leave the game 7d21d60316a7
05/02 04:35:54 | Connection closed with player Yedam (127.0.0.1)
05/02 04:36:22 | =================================
05/02 04:36:22 | Yedam just log in (from 127.0.0.1).
05/02 04:36:22 | Enter in game c14af0be40c4
05/02 04:36:22 | We loose the game (Opponent has disconnected) !
05/02 04:36:22 | Leave the game c14af0be40c4
05/02 04:36:22 | Connection closed with player Yedam (127.0.0.1)
05/02 04:38:30 | =================================
05/02 04:38:30 | Yedam just log in (from 127.0.0.1).
05/02 04:38:30 | Enter in game 62762a901b46
05/02 04:38:31 | We loose the game (Opponent has disconnected) !
05/02 04:38:31 | Leave the game 62762a901b46
05/02 04:38:31 | Connection closed with player Yedam (127.0.0.1)
05/02 04:39:25 | =================================
05/02 04:39:25 | Yedam just log in (from 127.0.0.1).
05/02 04:39:25 | Enter in game 7d5a04b9dd2f
05/02 04:39:25 | We loose the game (Opponent has disconnected) !
05/02 04:39:25 | Leave the game 7d5a04b9dd2f
05/02 04:39:25 | Connection closed with player Yedam (127.0.0.1)
05/02 04:40:06 | =================================
05/02 04:40:06 | Yedam just log in (from 127.0.0.1).
05/02 04:40:06 | Enter in game 923812502228
05/02 04:40:07 | We loose the game (Opponent has disconnected) !
05/02 04:40:07 | Leave the game 923812502228
05/02 04:40:07 | Connection closed with player Yedam (127.0.0.1)
05/02 04:40:26 | =================================
05/02 04:40:26 | Yedam just log in (from 127.0.0.1).
05/02 04:40:26 | Enter in game c67e2a0a42a1
05/02 04:40:26 | We loose the game (Opponent has disconnected) !
05/02 04:40:26 | Leave the game c67e2a0a42a1
05/02 04:40:26 | Connection closed with player Yedam (127.0.0.1)
05/02 04:43:19 | =================================
05/02 04:43:19 | Yedam just log in (from 127.0.0.1).
05/02 04:43:19 | Enter in game bbde04a2d6d9
05/02 04:43:19 | We loose the game (Opponent has disconnected) !
05/02 04:43:19 | Leave the game bbde04a2d6d9
05/02 04:43:19 | Connection closed with player Yedam (127.0.0.1)
05/02 04:45:43 | =================================
05/02 04:45:43 | Yedam just log in (from 127.0.0.1).
05/02 04:45:43 | Enter in game 7bf7b7ac2440
05/02 04:45:43 | We loose the game (Opponent has disconnected) !
05/02 04:45:43 | Leave the game 7bf7b7ac2440
05/02 04:45:43 | Connection closed with player Yedam (127.0.0.1)
05/02 04:49:35 | =================================
05/02 04:49:35 | Yedam just log in (from 127.0.0.1).
05/02 04:49:35 | Enter in game 56c6c8da68f3
05/02 04:49:35 | We loose the game (Opponent has disconnected) !
05/02 04:49:35 | Leave the game 56c6c8da68f3
05/02 04:49:35 | Connection closed with player Yedam (127.0.0.1)
05/02 04:51:37 | =================================
05/02 04:51:37 | Yedam just log in (from 127.0.0.1).
05/02 04:51:37 | Enter in game 6c0dd0d416bc
05/02 04:51:38 | We loose the game (Opponent has disconnected) !
05/02 04:51:38 | Leave the game 6c0dd0d416bc
05/02 04:51:38 | Connection closed with player Yedam (127.0.0.1)
05/02 04:55:30 | =================================
05/02 04:55:30 | Yedam just log in (from 127.0.0.1).
05/02 04:55:30 | Enter in game 74d4cdeff40f
05/02 04:55:30 | We loose the game (Opponent has disconnected) !
05/02 04:55:30 | Leave the game 74d4cdeff40f
05/02 04:55:30 | Connection closed with player Yedam (127.0.0.1)
