05/02 04:31:44 | =================================
05/02 04:31:44 | Zedam just log in (from 127.0.0.1).
05/02 04:31:44 | Enter in game d6abd23c802a
05/02 04:31:45 | We loose the game (Opponent has disconnected) !
05/02 04:31:45 | Leave the game d6abd23c802a
05/02 04:31:45 | Connection closed with player Zedam (127.0.0.1)
05/02 04:32:53 | =================================
05/02 04:32:53 | Zedam just log in (from 127.0.0.1).
05/02 04:32:53 | Enter in game 76d07305d96d
05/02 04:32:54 | We loose the game (Opponent has disconnected) !
05/02 04:32:54 | Leave the game 76d07305d96d
05/02 04:32:54 | Connection closed with player Zedam (127.0.0.1)
